feature,importance
Precip_T45,0.1812882286752072
SMAP_Surface_T15,0.16599198704404913
Temp,0.10219091146267029
SoilTemp_T30,0.10003744077083372
Moisture_T15,0.09722272177812842
SoilTemp_T15,0.0962633568694852
Precip,0.06668907681729203
SMAP_Root_T15,0.06545988091970102
RVI_T0,0.048672377547929004
RVI_Phenology_Delta,0.041757032310162305
Moisture_T30,0.034426985804541774
