feature,importance
Precip_T45,0.2513442588767614
Temp,0.14124544579337173
SoilTemp_T15,0.1250702667394048
SoilTemp_T30,0.12150709312618387
Moisture_T15,0.1087409694230278
Precip,0.07966512047929525
RVI_T0,0.0700841283458666
Moisture_T30,0.05208445992420771
RVI_Phenology_Delta,0.050258257291880895
