absence_set,n,positives,auc_model,auc_baseline,difference,ci_low,ci_high
synthetic background (primary),943,463,0.7644,0.827,-0.0629,-0.0994,-0.0264
target-group background (TGB),926,463,0.6505,0.7231,-0.0728,-0.1224,-0.0234
