row_id,Moisture_T30,Moisture_T15
0,-11.94041243149508,-4.326251152292391
1,-6.321162736250324,-4.563258809388088
2,-5.392015293777472,-5.113678259497138
3,-6.66054492991843,-5.628127955605112
4,-6.452773425607258,-5.524483216875429
5,-4.237759073956699,-5.105866197126232
6,-5.647936013994947,-5.516765060740746
7,-6.491095461443445,-8.188507047666818
8,-4.237759073956699,-5.105866197126232
9,-5.499845218896656,-5.045953069362793
10,-6.491095461443445,-8.188507047666818
11,-6.598980582880307,-5.005412488772051
12,-4.57770465797697,-6.056283714158354
13,-6.353656590261789,-8.353416986709668
14,-6.522633912593303,-6.540845094176996
15,-6.158589088666016,-5.913580984559719
16,-10.87405166903876,-10.017911823852522
17,-6.070816306741495,-6.774635889592058
18,-5.273346567281115,-5.8534109133494
19,-6.640276424678258,-7.202670630837249
20,-6.2343683225847615,-6.910411043448145
21,-5.620222820280787,-5.135515563873231
22,-5.934381610750984,-5.329893122595803
23,-6.940867451565103,-6.6589150792395095
24,-5.810772884823711,-4.728680329032507
25,-5.942883485408618,-5.670492497325766
26,-4.7784192752095915,-5.466009367279398
27,-4.477451794409921,-6.738378505027714
28,-5.558562789220236,-6.113467957704753
29,-5.404684497879147,-4.469681826011602
30,-4.802534667438536,-6.478711803359895
31,-6.0513923460953105,-5.319241529859146
32,-6.598980582880307,-5.005412488772051
33,-5.559731773759988,-5.715651252379295
34,-6.756219069172945,-6.787297328819452
35,-6.352183854078405,-5.2984793225656155
36,-6.130464610453744,-6.6549161744692515
37,-5.335778013859553,-6.365626920814134
38,-5.452544747561539,-6.352989026750093
39,-9.851141974157159,-9.271592797765912
40,-6.212130057671935,-7.499163913441937
41,-6.195991065121795,-6.234198454231646
42,-6.883508818178708,-5.230205870158196
43,-7.918399360543923,-8.191721496328743
44,-8.756634092957997,-9.855470810903807
45,-8.252060284760292,-8.107512344470441
46,-3.2666190103094834,-3.776307464956119
47,-6.623695772269485,-5.874237021940889
48,-5.864130454839097,-5.946041920791522
49,-5.839251148908536,-5.023172494400177
50,-8.10280053342684,-7.517011658188496
51,-12.491038409046489,-14.198571992209798
52,-5.290289921480208,-5.953696371343344
53,-6.654224994178238,-7.078077158703471
54,-7.128688717127279,-4.863392687674178
55,-7.856328565523251,-9.865254163447494
56,-4.152120767752645,-5.603841270178908
57,-7.451588278197823,-8.055723504521712
58,-6.919800583448197,-8.975786536713565
59,-6.14405453333783,-4.244624749345622
60,-5.68597271580863,-6.422949200078433
61,-9.383006000199956,-9.340103825523025
62,-5.348468693375343,-6.719987232522145
63,-6.608437142445512,-5.384310119641427
64,-8.527531830843438,-9.299227698190773
65,-9.397818346960381,-8.953876668150869
66,-5.947358264087654,-6.278820815001228
67,-5.839371989578693,-6.15197961394334
68,-6.3692753037178385,-6.274026002489892
69,-7.902094279977362,-8.61496808828773
70,-5.5677698932568465,-4.055757784010441
71,-10.057216137885023,-10.467793862729206
