row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source,Precip_T45,Precip,Temp,SoilTemp_T30,SoilTemp_T15,Moisture_T30,Moisture_T15,RVI_T45,RVI_T30,RVI_T0,RVI_Phenology_Delta
0,38.142777778,4.88833333300005,1,1,2020-02-18,2020-02-22,fao_hopper,0.0200682252478827,0.0013740441676972,295.9191934797499,298.7314372592502,299.30367694430885,-11.94041243149508,-4.326251152292391,0.6270926506258451,0.240486345827296,0.7940410633601446,-0.38660630479854907
1,38.0591666670001,4.88833333300005,1,1,2020-02-18,2020-02-22,fao_hopper,0.0200682252478827,0.0013740441676972,295.9191934797499,298.7314372592502,299.30367694430885,-6.321162736250324,-4.563258809388088,1.020510807978647,0.7566252885895568,0.8172349422008203,-0.2638855193890901
2,37.6636111110001,5.11472222200007,1,1,2020-02-18,2020-02-21,fao_hopper,0.0082828074527014,0.0002173415300248,301.1274454328749,304.1918593512641,304.81169018215604,-5.392015293777472,-5.113678259497138,0.8047676221021431,0.8966600537103387,0.9458877418104286,0.0918924316081956
3,38.9283333330001,4.13777777800004,1,1,2020-02-18,2020-02-24,fao_hopper,0.0027581274342765,0.0032467326995728,297.28626162211106,300.7707438998752,301.74967303805875,-6.66054492991843,-5.628127955605112,0.7380312045807716,0.7164822447615721,0.7932494124299773,-0.021548959819199576
4,37.316666667,0.866666667000061,1,1,2020-02-18,2020-02-18,fao_band,0.0234744965863455,0.0156245014545319,296.5376233842638,299.2783882141113,300.68584382798934,-6.452773425607258,-5.524483216875429,0.8015711981819295,0.7382082402165424,0.8761205798750336,-0.06336295796538705
5,37.8,1.58333333300004,1,1,2020-02-18,2020-02-21,fao_band,0.0112141191792716,0.0048038593408463,302.1336303287082,306.416246287028,307.8754922654894,-4.237759073956699,-5.105866197126232,1.0185255349362057,1.0949196344216268,0.9828959468807116,0.07639409948542109
6,37.55,0.4,1,1,2020-02-18,2020-02-21,fao_band,0.0201253712010611,0.0124151489612458,297.0539482540554,299.85700692070844,301.3834512498644,-5.647936013994947,-5.516765060740746,0.908550446952573,0.8563333940608125,1.0792605953367005,-0.052217052891760485
7,36.95,3.21666666700003,1,1,2020-02-18,2020-02-21,fao_band,0.0183100372386206,0.000429444658458,305.7932223425971,310.4270210266113,311.85593931410057,-6.491095461443445,-8.188507047666818,0.9165177982943004,0.7329112472234817,0.5070627816048365,-0.1836065510708187
8,37.8,1.58333333300004,1,1,2020-02-18,2020-02-23,fao_band,0.0112141191792716,0.0048038593408463,302.1336303287082,306.416246287028,307.8754922654894,-4.237759073956699,-5.105866197126232,1.0185255349362057,1.0949196344216268,0.9828959468807116,0.07639409948542109
9,37.6166666670001,0.9,1,1,2020-02-18,2020-02-23,fao_band,0.0147717118096579,0.0091259411451218,299.0534111446804,302.37941360473627,303.3710543314616,-5.499845218896656,-5.045953069362793,0.7565353739158951,0.8795060369892718,1.059649153582101,0.12297066307337667
10,36.95,3.21666666700003,1,1,2020-02-18,2020-02-20,fao_band,0.0183100372386206,0.000429444658458,305.7932223425971,310.4270210266113,311.85593931410057,-6.491095461443445,-8.188507047666818,0.9165177982943004,0.7329112472234817,0.5070627816048365,-0.1836065510708187
11,37.333333333,0.866666667000061,1,1,2020-02-18,2020-02-20,fao_band,0.0234744965863455,0.0156245014545319,296.5376233842638,299.2783882141113,300.68584382798934,-6.598980582880307,-5.005412488772051,0.7605637068559271,0.7181574677306347,0.9349852206790064,-0.0424062391252924
12,37.95,1.38333333300005,1,1,2020-02-18,2020-02-24,fao_band,0.0114130645823706,0.0080241343852875,301.89172494676376,305.41908916897245,306.72058775160053,-4.57770465797697,-6.056283714158354,0.9551384076606472,1.0337884149558192,0.9221020334101356,0.07865000729517202
13,37.3572222220001,4.97638888900002,1,1,2020-02-18,2020-02-22,fao_adult,0.0130077570510138,0.0005061856386063,298.60073102315266,301.66936043633353,301.6432982550727,-6.353656590261789,-8.353416986709668,0.6601619265919658,0.7520457259720194,0.6845939252162048,0.09188379938005353
14,37.45,5.01388888900004,1,1,2020-02-18,2020-02-22,fao_adult,0.0087492436003913,0.0003010115501282,298.0102416568332,302.8350885179308,303.06428349812825,-6.522633912593303,-6.540845094176996,0.8438733584331759,0.7285740559988099,0.79138845466616,-0.11529930243436604
15,37.2333333330001,0.8,1,1,2020-02-18,2020-02-18,fao_swarm,0.0225856870246161,0.0147941342470048,297.55279808044435,300.113414255778,301.5473943922255,-6.158589088666016,-5.913580984559719,0.7423276923330623,0.779858842634463,0.8761443897652752,0.03753115030140075
16,36.7,2.75,1,1,2020-02-18,2020-02-21,fao_swarm,0.0299922048878897,0.001530998098552,305.4474052853054,307.714146677653,309.3339178297255,-10.87405166903876,-10.017911823852522,0.4733622112752111,0.3023568610406573,0.332090091687412,-0.17100535023455382
17,36.95,0.0,1,1,2020-02-18,2020-02-21,fao_swarm,0.0405282348227729,0.0214244357225297,291.0991576724582,292.24661195543075,293.93866500854494,-6.070816306741495,-6.774635889592058,0.8977929421618627,0.7926255017936722,0.8010291842696258,-0.10516744036819048
18,36.25,0.28333333300003,1,1,2020-02-18,2020-02-21,fao_swarm,0.0956386446786154,0.032336913692653,290.93892004224995,293.5271186828613,294.26897642347546,-5.273346567281115,-5.8534109133494,0.9872088806479556,0.9320840073890708,0.8283033321886021,-0.05512487325888482
19,36.266666667,0.31666666700005,1,1,2020-02-18,2020-02-21,fao_swarm,0.0956386446786154,0.032336913692653,290.93892004224995,293.5271186828613,294.26897642347546,-6.640276424678258,-7.202670630837249,0.8399349398723895,0.7126111758863727,0.7499661860680026,-0.12732376398601686
20,36.8,0.6,1,1,2020-02-18,2020-02-21,fao_swarm,0.0283740430903662,0.0123753032562134,293.2820190005832,294.7341553582085,295.80079065958665,-6.2343683225847615,-6.910411043448145,0.6510965926521344,0.7689632307788788,0.5279636483411508,0.11786663812674447
21,37.05,0.433333333000064,1,1,2020-02-18,2020-02-22,fao_swarm,0.0429744094443549,0.0136588147756455,293.01503766377766,294.500963083903,296.27949617173937,-5.620222820280787,-5.135515563873231,0.818096940777504,0.8606358184881188,0.7918986368822586,0.04253887771061482
22,36.9833333330001,0.03333333300003,1,1,2020-02-18,2020-02-22,fao_swarm,0.067963165028118,0.0513753077861665,291.112531153361,291.7186822679307,292.8000473870171,-5.934381610750984,-5.329893122595803,0.7803848163352014,0.8127813010471046,0.8406902829930613,0.03239648471190315
23,37.05,0.0,1,1,2020-02-18,2020-02-22,fao_swarm,0.067963165028118,0.0513753077861665,291.112531153361,291.7186822679307,292.8000473870171,-6.940867451565103,-6.6589150792395095,0.8278843947019919,0.6729368346630201,0.7469359792143366,-0.1549475600389718
24,37.021944444,5.31166666700005,1,1,2020-02-18,2020-02-18,fao_swarm,0.048012357933544,0.0002922496673463,303.47995736863874,301.520152537028,302.0893160502116,-5.810772884823711,-4.728680329032507,0.8422179350968727,0.8313698366795782,0.803785401129229,-0.010848098417294505
25,37.026111111,5.31166666700005,1,1,2020-02-18,2020-02-18,fao_swarm,0.048012357933544,0.0002922496673463,303.47995736863874,301.520152537028,302.0893160502116,-5.942883485408618,-5.670492497325766,0.7680557501096633,0.8115142224395869,0.6938292797680954,0.043458472329923614
26,37.065555556,5.42055555600007,1,1,2020-02-18,2020-02-18,fao_swarm,0.0458010852170218,0.000244878875911,301.8303968217638,300.6478543599446,300.93631583319774,-4.778419275209592,-5.466009367279398,0.8698398884763054,0.9987559585424252,0.6976305021633311,0.12891607006611971
27,37.1244444440001,5.38888888900004,1,1,2020-02-18,2020-02-18,fao_swarm,0.0458010852170218,0.000244878875911,301.8303968217638,300.6478543599446,300.93631583319774,-4.477451794409921,-6.738378505027714,0.8719044726835665,1.0515833043257024,1.0322710761814269,0.17967883164213583
28,37.341944444,4.99194444400007,1,1,2020-02-18,2020-02-19,fao_swarm,0.0421106785369147,0.0008742741224168,299.1317043304443,301.245884958903,301.0679727342394,-5.558562789220236,-6.113467957704753,0.9120065500464823,0.8702646396212682,0.8266574096004959,-0.041741910425214135
29,37.896666667,4.46472222200003,1,1,2020-02-18,2020-02-20,fao_swarm,0.0111318051648368,0.0008437267419694,299.9857299380832,303.6911432054308,303.4120645311143,-5.404684497879147,-4.469681826011602,1.090206548539882,0.894632312274051,0.8778689734258293,-0.19557423626583093
30,37.4261111110001,5.03083333300003,1,1,2020-02-18,2020-02-21,fao_swarm,0.0130077570510138,0.0005061856386063,298.60073102315266,301.66936043633353,301.6432982550727,-4.802534667438536,-6.478711803359895,0.9187417540800746,0.9946006201991832,0.6904307662821746,0.07585886611910853
31,36.9955555560001,5.36194444400007,1,1,2020-02-18,2020-02-21,fao_swarm,0.0341602086854209,0.0002330771562455,303.10083410474994,302.44234220716686,302.3934176127115,-6.051392346095311,-5.319241529859146,0.9241687491005064,0.7954719099215609,0.9990814018020436,-0.12869683917894548
32,37.333333333,0.866666667000061,1,1,2020-02-18,2020-02-19,fao_swarm,0.0234744965863455,0.0156245014545319,296.5376233842638,299.2783882141113,300.68584382798934,-6.598980582880307,-5.005412488772051,0.7605637068559271,0.7181574677306347,0.9349852206790064,-0.0424062391252924
33,36.8666666670001,0.483333333000076,1,1,2020-02-18,2020-02-19,fao_swarm,0.0401691168380011,0.0141046873208878,293.896906153361,294.98858786688913,296.3325777689616,-5.559731773759988,-5.715651252379295,0.839792371908491,0.8714303211663017,0.8656901244179436,0.031637949257810716
34,36.766666667,1.11666666700006,1,1,2020-02-18,2020-02-20,fao_swarm,0.0188481628728141,0.0124948254701493,293.15844044155546,294.1226427714029,295.1380248175727,-6.756219069172945,-6.787297328819452,0.5930834232594735,0.6970714187290874,0.5832459343740769,0.1039879954696139
35,36.8666666670001,2.25,1,1,2020-02-18,2020-02-20,fao_swarm,0.0308054655623664,0.0044191560623048,297.67469478183324,301.8058350457086,302.912080807156,-6.352183854078405,-5.298479322565616,0.8329461252896523,0.7522528262845315,0.6991706283239059,-0.08069329900512079
36,37.8666666670001,0.233333333000076,1,1,2020-02-18,2020-02-20,fao_swarm,0.0430730700326194,0.0562209269878266,293.1278848859999,294.121324412028,294.56724573771163,-6.130464610453744,-6.654916174469252,0.7485567393600154,0.7839325357148155,0.7151463570347054,0.03537579635480004
37,36.6333333330001,0.183333333000064,1,1,2020-02-18,2020-02-20,fao_swarm,0.0312247693372,0.0094779810783265,291.4167195214165,292.760359785292,294.0376179165311,-5.335778013859553,-6.365626920814134,0.6147370674962227,0.9067749298717336,0.7739459533159982,0.2920378623755109
38,37.75,0.25,1,1,2020-02-18,2020-02-20,fao_swarm,0.0410383015704383,0.0390069714662431,293.6154988182916,295.03980857001415,296.0035250345865,-5.452544747561539,-6.352989026750093,0.7533961740557147,0.8870016309706296,0.8524686546443426,0.13360545691491488
