row_id,SMAP_Surface_T15,SMAP_Root_T15
0,0.2918349802494049,0.4455459713935852
1,0.3158889412879944,0.45354971289634705
2,0.310884565114975,0.44806569814682007
3,0.2358962744474411,0.4159795343875885
4,0.39809873700141907,0.43911081552505493
5,0.3562565743923187,0.44778698682785034
6,0.5669479370117188,0.6066787838935852
7,0.33526912331581116,0.5128280520439148
8,0.3562565743923187,0.44778698682785034
9,0.38614243268966675,0.45764315128326416
10,0.33526912331581116,0.5128280520439148
11,0.39809873700141907,0.43911081552505493
12,0.3349502384662628,0.43053537607192993
13,0.267589271068573,0.3851465880870819
14,0.46157070994377136,0.5198623538017273
15,0.31592607498168945,0.48262685537338257
16,0.555401086807251,0.6461725831031799
17,0.32755225896835327,0.4481653869152069
18,0.2979751229286194,0.39246469736099243
19,0.3811355233192444,0.5085129141807556
20,0.41824185848236084,0.5473994016647339
21,0.30799710750579834,0.4362137019634247
22,0.30717363953590393,0.43901216983795166
23,0.33684536814689636,0.462137371301651
24,0.267589271068573,0.3851465880870819
25,0.2514052987098694,0.40733492374420166
26,0.2918349802494049,0.4455459713935852
27,0.39674070477485657,0.5103927850723267
28,0.39674070477485657,0.5103927850723267
29,0.3846943974494934,0.4981369078159332
30,0.39469245076179504,0.43023020029067993
31,0.39469245076179504,0.43023020029067993
32,0.31592607498168945,0.48262685537338257
33,0.31592607498168945,0.48262685537338257
34,0.6375187635421753,0.7221552729606628
35,0.39469245076179504,0.43023020029067993
36,0.43602749705314636,0.5177993774414062
37,0.43602749705314636,0.5177993774414062
38,0.43602749705314636,0.5177993774414062
39,0.33526912331581116,0.5128280520439148
40,0.38700610399246216,0.49228769540786743
41,0.5669479370117188,0.6066787838935852
42,0.3118794560432434,0.3790532648563385
43,0.640434205532074,0.6750849485397339
44,0.405111163854599,0.5337214469909668
45,0.3981221318244934,0.4866470396518707
46,0.39893287420272827,0.4421727657318115
47,0.28265631198883057,0.38788604736328125
48,0.4418095648288727,0.548351526260376
49,0.41892850399017334,0.5024520754814148
50,0.30751287937164307,0.38424429297447205
51,0.29742124676704407,0.44806772470474243
52,0.378560870885849,0.5079910159111023
53,0.2943079471588135,0.3678950071334839
54,0.40285590291023254,0.5389785766601562
55,0.3365234136581421,0.3612920343875885
56,0.28560787439346313,0.38153332471847534
57,0.31769609451293945,0.4420527219772339
58,0.267455518245697,0.3766128718852997
59,0.47875720262527466,0.5656997561454773
60,0.32703956961631775,0.4267522394657135
61,0.3705556094646454,0.4813522398471832
62,0.2348937690258026,0.3541204035282135
63,0.5529352426528931,0.547466516494751
64,0.3269800543785095,0.43288931250572205
65,0.2718963325023651,0.3148788511753082
66,0.3435882329940796,0.472910076379776
67,0.4012771248817444,0.4900924861431122
68,0.39586687088012695,0.5141097903251648
69,0.39674070477485657,0.5103927850723267
70,0.552733838558197,0.6493586301803589
71,0.29044798016548157,0.4348607361316681
72,0.39674070477485657,0.5103927850723267
73,0.39674070477485657,0.5103927850723267
74,0.3786992132663727,0.5360305905342102
75,0.32650092244148254,0.46106112003326416
76,0.42459002137184143,0.5167078971862793
77,0.3458760380744934,0.48063814640045166
78,0.41380560398101807,0.44770559668540955
79,0.4114903509616852,0.388559490442276
80,0.35047248005867004,0.34571483731269836
81,0.5116429328918457,0.6192296743392944
82,0.26846665143966675,0.3937210142612457
83,0.4225722849369049,0.3926732540130615
84,0.6605941653251648,0.7424596548080444
85,0.28909096121788025,0.4348953366279602
86,0.2979893684387207,0.2991287410259247
87,0.3641911447048187,0.49826812744140625
88,0.4264276921749115,0.5610936880111694
89,0.2713073492050171,0.38633474707603455
90,0.3129673898220062,0.45345306396484375
91,0.2859140634536743,0.4154108762741089
92,0.386812299489975,0.5015345215797424
93,0.3846943974494934,0.4981369078159332
94,0.3846943974494934,0.4981369078159332
95,0.39674070477485657,0.5103927850723267
96,0.39674070477485657,0.5103927850723267
97,0.3846943974494934,0.4981369078159332
98,0.39674070477485657,0.5103927850723267
99,0.3846943974494934,0.4981369078159332
100,0.386812299489975,0.5015345215797424
101,0.39674070477485657,0.5103927850723267
102,0.552733838558197,0.6493586301803589
103,0.35790300369262695,0.40455272793769836
104,0.5522028207778931,0.6464879512786865
105,0.5522028207778931,0.6464879512786865
106,0.5522028207778931,0.6464879512786865
107,0.5522028207778931,0.6464879512786865
108,0.39621326327323914,0.3943741023540497
109,0.3562565743923187,0.44778698682785034
