row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source,Precip_T45,Precip,Temp,SoilTemp_T30,SoilTemp_T15,Moisture_T30,Moisture_T15,RVI_T45,RVI_T30,RVI_T0,SMAP_Surface_T15,SMAP_Root_T15,RVI_Phenology_Delta
0,38.142777778,4.88833333300005,1,1,2020-02-18,2020-02-22,fao_hopper,0.0020031036014529,0.0265328578764965,293.4209690941705,295.5228630489773,296.2613539377848,-9.290448127225291,-7.313089312400827,0.7462161136042929,0.4213772684618709,0.6270926506258451,0.2918349802494049,0.4455459713935852,-0.32483884514242195
1,38.0591666670001,4.88833333300005,1,1,2020-02-18,2020-02-22,fao_hopper,0.0020031036014529,0.0265328578764965,293.4209690941705,295.5228630489773,296.2613539377848,-5.243574601617674,-5.245716434728758,0.9239950893863592,0.9206614827026052,1.020510807978647,0.3158889412879944,0.453549712896347,-0.0033336066837540423
2,37.6636111110001,5.11472222200007,1,1,2020-02-18,2020-02-21,fao_hopper,0.0005823970909091,0.0068775557095577,298.7869847191705,301.64497133890785,302.1947252485488,-4.504933591407004,-5.601313382266579,0.8605401162099442,1.0466876117727764,0.8146923721202363,0.310884565114975,0.44806569814682,0.18614749556283217
3,38.9283333330001,4.13777777800004,1,1,2020-02-18,2020-02-24,fao_hopper,0.001629904019353,0.0144518010432292,295.0679743025038,297.5197326236301,298.867951160007,-6.960596641025764,-6.694321411440173,0.8159393247591469,0.7050170709877165,0.6713384259300164,0.2358962744474411,0.4159795343875885,-0.11092225377143039
4,37.316666667,0.866666667000061,1,1,2020-02-18,2020-02-18,fao_band,0.018586605894086,0.0373685054595043,295.1171713511149,297.259158621894,297.3651137034098,-4.983633108447675,-6.009945837456737,0.760535014669945,1.0052437518905954,0.6579285901865923,0.398098737001419,0.4391108155250549,0.24470873722065045
5,37.8,1.58333333300004,1,1,2020-02-18,2020-02-21,fao_band,0.0047805012340518,0.0239075116927196,300.1022299448649,303.59659351772734,303.6540948232015,-4.8017089974588725,-4.418089752284418,0.9936257860697392,0.996935929015766,0.9588120906500222,0.3562565743923187,0.4477869868278503,0.0033101429460268283
6,37.55,0.4,1,1,2020-02-18,2020-02-21,fao_band,0.014228209959981,0.0147716693694164,295.8925728268093,298.06553883022724,298.231693564521,-5.103885710997377,-5.294316293456541,0.941258794991979,0.9436990342988132,0.7855671796555138,0.5669479370117188,0.6066787838935852,0.0024402393068342354
7,36.95,3.21666666700003,1,1,2020-02-18,2020-02-21,fao_band,0.0003477187032672,0.0476939074809124,302.3035157521566,305.80411304897734,307.26512455410415,-6.977422351249354,-7.136532714205341,0.5599742039810773,0.670767018845061,0.7458604208856998,0.3352691233158111,0.5128280520439148,0.11079281486398362
8,37.8,1.58333333300004,1,1,2020-02-18,2020-02-23,fao_band,0.0047805012340518,0.0239075116927196,300.1022299448649,303.59659351772734,303.6540948232015,-4.8017089974588725,-4.418089752284418,0.9936257860697392,0.996935929015766,0.9588120906500222,0.3562565743923187,0.4477869868278503,0.0033101429460268283
9,37.6166666670001,0.9,1,1,2020-02-18,2020-02-23,fao_band,0.0130996854181262,0.0230414264018108,297.5595487382677,300.0212300194635,300.25582008361823,-5.438295012473612,-5.661642559558958,0.8614923165604982,0.9069832398022328,0.809083794240842,0.3861424326896667,0.4576431512832641,0.04549092324173465
10,36.95,3.21666666700003,1,1,2020-02-18,2020-02-20,fao_band,0.0003477187032672,0.0476939074809124,302.3035157521566,305.80411304897734,307.26512455410415,-6.977422351249354,-7.136532714205341,0.5599742039810773,0.670767018845061,0.7458604208856998,0.3352691233158111,0.5128280520439148,0.11079281486398362
11,37.333333333,0.866666667000061,1,1,2020-02-18,2020-02-20,fao_band,0.018586605894086,0.0373685054595043,295.1171713511149,297.259158621894,297.3651137034098,-5.775173994719285,-5.946393606225181,0.7947664365013277,0.8371830461770655,0.7605637068559271,0.398098737001419,0.4391108155250549,0.04241660967573779
12,37.95,1.38333333300005,1,1,2020-02-18,2020-02-24,fao_band,0.0095321239109011,0.0270678095633556,299.7538032955593,302.54410328335234,302.85543488396536,-5.66386548644476,-5.181051534517918,0.8008070969215038,0.8621659727349468,0.955138407660647,0.3349502384662628,0.4305353760719299,0.061358875813443015
13,37.54919588310734,3.424005521208839,0,1,2020-02-18,,synthetic_background,0.0006197244996997,0.1024606965596248,300.70487208896213,304.22851083543566,302.8301202138265,-9.862731291132796,-9.820004890883746,0.3668419314282811,0.3746480935773231,0.4481880140365305,0.267589271068573,0.3851465880870819,0.007806162149042006
14,36.08542267943429,1.0291299373506184,0,1,2020-02-18,,synthetic_background,0.006664842473981,0.0058704756314327,299.8125923580593,302.8002176496718,302.34751387702096,-5.3882757551563145,-5.203467208746648,0.8774156214114768,0.8972592015935075,1.0926553568273245,0.4615707099437713,0.5198623538017273,0.019843580182030696
15,38.05583094509194,5.003381175816459,0,1,2020-02-18,,synthetic_background,0.0022221804733248,0.0240426354224254,294.2827909257677,296.14368010626896,296.89122047424314,-6.301061702887218,-7.926648026746415,0.7700235529248474,0.7594689413402649,0.6406692906768092,0.3159260749816894,0.4826268553733825,-0.010554611584582485
16,36.92089865901672,5.361678478100384,0,1,2020-02-18,,synthetic_background,0.0009365827913256,0.00868742094584,300.3896973927816,302.52886348300507,302.6068943023681,-5.896232179505395,-6.523521522200829,0.8906044968662206,0.8202544813781245,0.799229595104077,0.555401086807251,0.6461725831031799,-0.07035001548809605
17,38.16463158530492,1.1396337252287807,0,1,2020-02-18,,synthetic_background,0.00629025708389,0.0195457033927013,300.4435439639621,303.750418387519,304.2486694759793,-6.0621902741629325,-5.652151155668303,0.7338205253164956,0.7952915411295685,0.6679039278841705,0.3275522589683532,0.4481653869152069,0.061471015813072905
18,37.66268277337437,2.1127917241596847,0,1,2020-02-18,,synthetic_background,0.0048592240686389,0.0400334887320568,299.49739596049,302.87042706807455,303.0895223405625,-7.859956068715099,-7.782126363459065,0.5905684399699214,0.5626386755597916,0.485303061497327,0.2979751229286194,0.3924646973609924,-0.02792976441012973
19,36.54567720798023,4.713610571186153,0,1,2020-02-18,,synthetic_background,0.0035488457555743,0.0049101851994564,300.95175793965666,305.11339581807454,304.21345897250706,-6.811900400254846,-4.917848046455173,0.8334220126854959,0.6902756873833122,0.8703755534632921,0.3811355233192444,0.5085129141807556,-0.14314632530218363
20,38.89644966723591,1.3941219708885642,0,1,2020-02-18,,synthetic_background,0.0034417660112353,0.0330890856797267,301.2669380611844,303.9939405229356,304.6127319759793,-7.7605407941967215,-8.391514379892236,0.6605105115819141,0.5777424544399173,0.6627909115672785,0.4182418584823608,0.5473994016647339,-0.08276805714199675
21,36.25068430099003,3.621290533747312,0,1,2020-02-18,,synthetic_background,0.0006603748674365,0.011424853664117,302.73390854729547,307.2498867034912,306.2588854047987,-7.795896755247658,-5.697288387040258,0.8406006365129559,0.5772700926436792,0.6700434058404312,0.3079971075057983,0.4362137019634247,-0.2633305438692767
22,38.186978271862856,1.657432970983577,0,1,2020-02-18,,synthetic_background,0.0041873605127307,0.0235119901711513,300.854600821601,303.4114264170328,303.8110772450765,-5.065215551255282,-5.376193945562285,1.0611154086515633,0.9500912039234496,0.7664483068980069,0.3071736395359039,0.4390121698379516,-0.1110242047281137
23,38.05591898634054,3.1072048451822845,0,1,2020-02-18,,synthetic_background,0.0003289879436465,0.0258667312676479,299.6984539031982,303.58942120869955,304.7741089291042,-11.109732761834586,-11.817861133442577,0.3394889955289288,0.2875340016680043,0.2815563132197036,0.3368453681468963,0.462137371301651,-0.0519549938609245
24,37.5619961900549,3.4727372128525014,0,1,2020-02-18,,synthetic_background,0.0008503497714968,0.0976172678286602,298.8876466115316,302.4725917816162,301.0892510732014,-9.132797622285082,-9.207945516569422,0.3723733737293697,0.441972622611996,0.3990738865168576,0.267589271068573,0.3851465880870819,0.06959924888262631
25,38.20445717480815,3.251770633377561,0,1,2020-02-18,,synthetic_background,0.000132158505437,0.0295869998747875,299.3772462209065,302.8333827972412,304.0700344933404,-8.934457239374268,-8.776276927480552,0.5594065544013873,0.4533077050042099,0.3388324595340927,0.2514052987098694,0.4073349237442016,-0.1060988493971774
26,38.092222222,4.89277777800004,1,2,2020-02-25,2020-02-25,fao_hopper,0.0020031036014529,0.0265328578764965,293.4209690941705,295.5228630489773,296.2613539377848,-15.974362630310036,-14.05081152945893,0.1904210548690718,0.0985794751035027,0.1996304852666149,0.2918349802494049,0.4455459713935852,-0.09184157976556909
