X,Y,Week,WeekStart,ObsDate
37.066666667,0.716666667000027,7,2020-03-31,2020-03-31
36.533333333,0.25,7,2020-03-31,2020-03-31
36.8833333330001,2.3,7,2020-03-31,2020-03-31
36.8666666670001,2.33333333300004,7,2020-03-31,2020-03-31
36.8666666670001,2.31666666700005,7,2020-03-31,2020-03-31
37.516666667,0.55,7,2020-03-31,2020-03-31
36.516666667,0.233333333000076,7,2020-03-31,2020-03-31
36.783333333,0.0,7,2020-03-31,2020-03-31
36.8691666670001,2.35305555600007,7,2020-03-31,2020-03-31
36.827222222,5.52083333300004,7,2020-03-31,2020-04-05
36.833888889,5.53555555600008,7,2020-03-31,2020-04-05
36.699722222,2.61083333300007,7,2020-03-31,2020-04-05
36.9944444440001,0.638888889000043,7,2020-03-31,2020-04-05
36.86,2.41027777800002,7,2020-03-31,2020-04-05
36.846388889,2.44027777800005,7,2020-03-31,2020-04-05
37.7958333330001,1.58305555600003,7,2020-03-31,2020-04-05
36.7,2.60972222200007,7,2020-03-31,2020-04-05
36.700555556,2.68694444400006,7,2020-03-31,2020-04-05
36.7025,2.68916666700005,7,2020-03-31,2020-04-05
37.3219444440001,0.985277778000068,7,2020-03-31,2020-04-05
37.022222222,0.694444444000055,7,2020-03-31,2020-04-06
36.8466666670001,2.44027777800005,7,2020-03-31,2020-04-06
38.9836111110001,1.11638888900006,7,2020-03-31,2020-04-06
36.9833333330001,0.633333333000053,7,2020-03-31,2020-04-05
36.716666667,2.75,7,2020-03-31,2020-04-05
36.8833333330001,1.11666666700006,7,2020-03-31,2020-04-05
36.9,1.08333333300004,7,2020-03-31,2020-04-05
37.766666667,1.58333333300004,7,2020-03-31,2020-04-05
38.9,1.13333333300005,7,2020-03-31,2020-04-06
37.85,5.5,7,2020-03-31,2020-04-04
36.783333333,5.31666666700005,7,2020-03-31,2020-04-05
36.9833333330001,5.3,7,2020-03-31,2020-04-05
36.693055556,2.65055555600003,7,2020-03-31,2020-04-01
36.721111111,2.57694444400005,7,2020-03-31,2020-04-01
37.463333333,0.214444444000037,7,2020-03-31,2020-04-01
37.146388889,0.871388889000059,7,2020-03-31,2020-04-01
36.783333333,0.0,7,2020-03-31,2020-04-01
36.516666667,0.266666667000038,7,2020-03-31,2020-04-01
36.3666666670001,0.4,7,2020-03-31,2020-04-01
36.783333333,2.48333333300008,7,2020-03-31,2020-04-01
37.1166666670001,0.633333333000053,7,2020-03-31,2020-04-04
37.0,1.88333333300005,7,2020-03-31,2020-04-04
37.1166666670001,0.833333333000041,7,2020-03-31,2020-04-04
37.016666667,0.65,7,2020-03-31,2020-04-04
37.1166666670001,0.81666666700005,7,2020-03-31,2020-04-04
37.1,1.88333333300005,7,2020-03-31,2020-04-04
36.9805555560001,0.816388889000052,7,2020-03-31,2020-04-03
37.003055556,0.851944444000026,7,2020-03-31,2020-04-03
36.824166667,2.48694444400007,7,2020-03-31,2020-04-04
37.083333333,0.78333333300003,7,2020-03-31,2020-04-03
36.35,0.31666666700005,7,2020-03-31,2020-04-03
37.3833333330001,5.65,8,2020-04-07,2020-04-13
37.1,5.85,8,2020-04-07,2020-04-13
37.1,5.9,8,2020-04-07,2020-04-13
37.066666667,5.03333333300003,8,2020-04-07,2020-04-13
36.7333333330001,5.48333333300008,8,2020-04-07,2020-04-13
36.9833333330001,5.33333333300004,8,2020-04-07,2020-04-13
37.3,5.76666666700004,8,2020-04-07,2020-04-13
36.9833333330001,5.83333333300004,8,2020-04-07,2020-04-13
36.763888889,5.30027777800007,8,2020-04-07,2020-04-10
36.7866666670001,5.47194444400003,8,2020-04-07,2020-04-10
36.765555556,5.34305555600002,8,2020-04-07,2020-04-10
36.7319444440001,5.52055555600003,8,2020-04-07,2020-04-10
36.7491666670001,5.31555555600005,8,2020-04-07,2020-04-11
38.273333333,5.10861111100007,8,2020-04-07,2020-04-10
36.9333333330001,5.71666666700003,8,2020-04-07,2020-04-10
37.1166666670001,5.36666666700006,8,2020-04-07,2020-04-10
36.75,5.28333333300003,8,2020-04-07,2020-04-10
37.1333333330001,5.26666666700004,8,2020-04-07,2020-04-10
37.016666667,5.76666666700004,8,2020-04-07,2020-04-10
36.9,5.63333333300005,8,2020-04-07,2020-04-11
37.05,5.15,8,2020-04-07,2020-04-11
36.7333333330001,5.46666666700003,8,2020-04-07,2020-04-11
36.9166666670001,5.3,8,2020-04-07,2020-04-11
37.0,5.63333333300005,8,2020-04-07,2020-04-11
36.9833333330001,5.73333333300008,8,2020-04-07,2020-04-11
37.016666667,5.7,8,2020-04-07,2020-04-11
37.016666667,5.63333333300005,8,2020-04-07,2020-04-11
36.9,5.65,8,2020-04-07,2020-04-11
36.9333333330001,5.31666666700005,8,2020-04-07,2020-04-11
36.75,5.28333333300003,8,2020-04-07,2020-04-11
36.8833333330001,5.43333333300006,8,2020-04-07,2020-04-11
36.7333333330001,5.48333333300008,8,2020-04-07,2020-04-11
38.1702777780001,4.86805555600006,8,2020-04-07,2020-04-12
36.7536111110001,5.475,8,2020-04-07,2020-04-12
36.9333333330001,5.71666666700003,8,2020-04-07,2020-04-13
36.9333333330001,5.7,8,2020-04-07,2020-04-13
36.8666666670001,5.66666666700007,8,2020-04-07,2020-04-13
37.016666667,5.58333333300004,8,2020-04-07,2020-04-13
37.1333333330001,5.81666666700005,8,2020-04-07,2020-04-13
36.816666667,5.5,8,2020-04-07,2020-04-13
36.766666667,5.46666666700003,8,2020-04-07,2020-04-13
36.75,5.46666666700003,8,2020-04-07,2020-04-13
37.016666667,5.31666666700005,8,2020-04-07,2020-04-13
36.9166666670001,5.3,8,2020-04-07,2020-04-13
36.783333333,5.38333333300005,8,2020-04-07,2020-04-13
36.6,5.3,8,2020-04-07,2020-04-13
37.1333333330001,5.85,8,2020-04-07,2020-04-13
37.397777778,1.00361111100005,8,2020-04-07,2020-04-13
37.95,1.36666666700006,8,2020-04-07,2020-04-12
36.6833333330001,0.616666667000061,8,2020-04-07,2020-04-13
36.7333333330001,2.43333333300006,8,2020-04-07,2020-04-13
