X,Y,Week,Source
38.142777778,4.88833333300005,1,fao_hopper
38.0591666670001,4.88833333300005,1,fao_hopper
37.6636111110001,5.11472222200007,1,fao_hopper
38.9283333330001,4.13777777800004,1,fao_hopper
37.316666667,0.866666667000061,1,fao_band
37.8,1.58333333300004,1,fao_band
37.55,0.4,1,fao_band
36.95,3.21666666700003,1,fao_band
37.8,1.58333333300004,1,fao_band
37.6166666670001,0.9,1,fao_band
36.95,3.21666666700003,1,fao_band
37.333333333,0.866666667000061,1,fao_band
37.95,1.38333333300005,1,fao_band
38.092222222,4.89277777800004,2,fao_hopper
36.828055556,5.46666666700003,2,fao_hopper
36.831944444,5.49333333300007,2,fao_hopper
36.829444444,5.51666666700004,2,fao_hopper
36.942777778,5.31194444400006,2,fao_hopper
36.9297222220001,5.31444444400006,2,fao_hopper
38.015277778,4.98916666700006,2,fao_hopper
38.023055556,4.96222222200004,2,fao_hopper
36.582777778,5.76388888900004,2,fao_hopper
36.9302777780001,5.3125,2,fao_hopper
37.25,0.6,2,fao_band
37.2333333330001,0.583333333000041,2,fao_band
37.216666667,0.56666666700005,2,fao_band
36.95,3.21666666700003,2,fao_band
37.85,1.55,2,fao_band
37.55,0.4,2,fao_band
37.216666667,1.88333333300005,2,fao_band
37.388888889,0.405555556000024,2,fao_band
37.339722222,3.0475,2,fao_band
37.2333333330001,0.8,2,fao_band
37.4833333330001,0.56666666700005,2,fao_band
36.8644444440001,5.64972222200004,3,fao_hopper
36.841111111,5.47111111100003,3,fao_hopper
37.0427777780001,5.165,3,fao_hopper
38.139722222,4.73,3,fao_hopper
36.8111111110001,5.46944444400003,3,fao_hopper
36.831666667,5.47611111100002,3,fao_hopper
37.953611111,5.06888888900005,3,fao_band
36.75,2.4,3,fao_band
37.3,0.683333333000064,3,fao_band
37.066666667,3.31666666700005,3,fao_band
37.1333333330001,0.583333333000041,3,fao_band
37.1166666670001,0.7,3,fao_band
36.951666667,5.33944444400004,4,fao_hopper
36.834166667,5.54416666700007,4,fao_hopper
36.835,5.54416666700007,4,fao_hopper
36.839722222,5.44944444400005,4,fao_hopper
36.839722222,5.44388888900005,4,fao_hopper
36.834166667,5.54416666700007,4,fao_hopper
36.839722222,5.44916666700004,4,fao_hopper
36.835833333,5.545,4,fao_hopper
36.9675,5.40111111100003,4,fao_band
36.8502777780001,5.47194444400003,4,fao_band
37.082222222,5.11805555600006,4,fao_band
36.8583333330001,4.98361111100007,4,fao_band
37.0744444440001,5.28,4,fao_band
37.1244444440001,5.20777777800004,4,fao_band
37.0744444440001,5.28,4,fao_band
37.1244444440001,5.20777777800004,4,fao_band
37.2,0.65,4,fao_band
37.783333333,1.58333333300004,4,fao_band
37.1666666670001,0.616666667000061,4,fao_band
36.8666666670001,0.4,4,fao_band
37.1666666670001,0.616666667000061,4,fao_band
37.1936111110001,0.94388888900005,5,fao_hopper
36.760277778,5.47138888900002,5,fao_hopper
36.831388889,5.45277777800004,5,fao_hopper
36.771944444,5.36444444400007,5,fao_hopper
36.771944444,5.35944444400008,5,fao_hopper
36.8061111110001,5.39916666700003,5,fao_hopper
37.15,1.25,5,fao_band
37.1333333330001,0.916666667000072,5,fao_band
37.1666666670001,0.916666667000072,5,fao_band
37.1333333330001,0.9,5,fao_band
37.316666667,0.966666667000027,5,fao_band
37.0,0.833333333000041,5,fao_band
37.216666667,0.933333333000064,5,fao_band
37.25,1.01666666700004,5,fao_band
37.1833333330001,0.933333333000064,5,fao_band
37.150277778,0.923611111000071,5,fao_band
37.265,0.94722222200005,5,fao_band
37.327222222,0.982222222000075,5,fao_band
37.2505555560001,1.02138888900004,5,fao_band
37.215,0.937777778000054,5,fao_band
37.0016666670001,5.355,5,fao_band
36.830277778,5.47444444400003,5,fao_band
38.212777778,4.87527777800005,5,fao_band
36.7961111110001,5.47305555600008,5,fao_band
36.9872222220001,5.31888888900005,5,fao_band
37.021388889,5.35416666700007,5,fao_band
36.7438888890001,5.50583333300006,5,fao_band
37.7897222220001,0.149166667000031,5,fao_band
37.2333333330001,0.583333333000041,5,fao_band
37.1666666670001,0.633333333000053,5,fao_band
37.3666666670001,0.7,5,fao_band
37.55,0.4,5,fao_band
37.266666667,1.76666666700004,5,fao_band
36.75,2.4,5,fao_band
36.0072222220001,3.05,5,fao_band
36.0027777780001,3.00277777800005,5,fao_band
36.0069444440001,3.00333333300006,5,fao_band
36.0083333330001,3.11666666700006,5,fao_band
37.2333333330001,0.583333333000041,5,fao_band
37.0744444440001,5.28,5,fao_band
37.1244444440001,5.20777777800004,5,fao_band
36.1613888890001,4.72444444400003,5,fao_band
36.125,4.73777777800007,5,fao_band
37.019444444,5.32083333300005,5,fao_band
36.1877777780001,4.66138888900002,5,fao_band
36.831388889,5.71944444400003,5,fao_band
36.125,4.73777777800007,5,fao_band
36.085555556,4.72388888900002,5,fao_band
36.1877777780001,4.66138888900002,5,fao_band
36.777777778,4.47055555600002,5,fao_band
36.764166667,5.47055555600002,5,fao_band
36.835,5.4425,5,fao_band
36.9183333330001,5.32777777800004,5,fao_band
37.026111111,5.30666666700006,5,fao_band
36.1852777780001,4.66888888900007,5,fao_band
36.9247222220001,4.95916666700003,5,fao_band
36.958888889,5.08,5,fao_band
36.835,5.36111111100007,5,fao_band
