row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source
89,36.82944444,5.516666667,1,2,25-02-2020,29-02-2020,fao_hopper
90,36.94277778,5.311944444,1,2,25-02-2020,29-02-2020,fao_hopper
91,36.92972222,5.314444444,1,2,25-02-2020,02-03-2020,fao_hopper
92,38.01527778,4.989166667,1,2,25-02-2020,02-03-2020,fao_hopper
93,38.02305556,4.962222222,1,2,25-02-2020,02-03-2020,fao_hopper
94,36.58277778,5.763888889,1,2,25-02-2020,02-03-2020,fao_hopper
95,36.93027778,5.3125,1,2,25-02-2020,02-03-2020,fao_hopper
96,37.25,0.6,1,2,25-02-2020,29-02-2020,fao_band
97,37.23333333,0.583333333,1,2,25-02-2020,29-02-2020,fao_band
98,37.21666667,0.566666667,1,2,25-02-2020,29-02-2020,fao_band
99,36.95,3.216666667,1,2,25-02-2020,29-02-2020,fao_band
100,37.85,1.55,1,2,25-02-2020,25-02-2020,fao_band
101,37.55,0.4,1,2,25-02-2020,25-02-2020,fao_band
102,37.21666667,1.883333333,1,2,25-02-2020,25-02-2020,fao_band
103,37.38888889,0.405555556,1,2,25-02-2020,28-02-2020,fao_band
104,37.33972222,3.0475,1,2,25-02-2020,28-02-2020,fao_band
105,37.23333333,0.8,1,2,25-02-2020,01-03-2020,fao_band
106,37.48333333,0.566666667,1,2,25-02-2020,02-03-2020,fao_band
107,38.16833333,4.219722222,1,2,25-02-2020,28-02-2020,fao_adult
108,38.16888889,4.219444444,1,2,25-02-2020,28-02-2020,fao_adult
109,38.01027778,4.999722222,1,2,25-02-2020,02-03-2020,fao_adult
110,38.02138889,4.973333333,1,2,25-02-2020,02-03-2020,fao_adult
111,38.02305556,4.960833333,1,2,25-02-2020,02-03-2020,fao_adult
112,38.0225,4.9675,1,2,25-02-2020,02-03-2020,fao_adult
113,37.8,1.583333333,1,2,25-02-2020,29-02-2020,fao_swarm
114,38.23666667,4.182777778,1,2,25-02-2020,25-02-2020,fao_swarm
115,37.20777778,4.858333333,1,2,25-02-2020,26-02-2020,fao_swarm
116,37.66555556,0.635277778,1,2,25-02-2020,28-02-2020,fao_swarm
117,37.66138889,0.755555556,1,2,25-02-2020,28-02-2020,fao_swarm
118,37.05,1.816666667,1,2,25-02-2020,28-02-2020,fao_swarm
119,38.81972222,4.317777778,1,2,25-02-2020,01-03-2020,fao_swarm
120,38.78916667,5.474166667,1,2,25-02-2020,01-03-2020,fao_swarm
121,38.72361111,5.475555556,1,2,25-02-2020,01-03-2020,fao_swarm
122,38.81972222,4.017777778,1,2,25-02-2020,02-03-2020,fao_swarm
123,38.10472222,4.301388889,1,2,25-02-2020,02-03-2020,fao_swarm
124,37.98722222,5.006388889,1,2,25-02-2020,02-03-2020,fao_swarm
125,37.90884364,4.950254047,0,2,25-02-2020,,synthetic_background
126,37.40747066,3.256743801,0,2,25-02-2020,,synthetic_background
127,37.6369997,0.789607495,0,2,25-02-2020,,synthetic_background
128,36.45963286,1.539881471,0,2,25-02-2020,,synthetic_background
129,37.31439297,0.235576006,0,2,25-02-2020,,synthetic_background
130,38.29099407,4.974515543,0,2,25-02-2020,,synthetic_background
131,36.74191653,0.389149136,0,2,25-02-2020,,synthetic_background
132,36.87637851,3.083456229,0,2,25-02-2020,,synthetic_background
133,37.490314,2.496954552,0,2,25-02-2020,,synthetic_background
134,36.93155256,3.287947589,0,2,25-02-2020,,synthetic_background
135,36.79536546,3.939613038,0,2,25-02-2020,,synthetic_background
136,36.61027683,1.946696401,0,2,25-02-2020,,synthetic_background
137,36.69546954,4.529598943,0,2,25-02-2020,,synthetic_background
138,38.72515488,1.610789989,0,2,25-02-2020,,synthetic_background
139,36.95559578,5.320957454,0,2,25-02-2020,,synthetic_background
140,36.26033828,0.911593168,0,2,25-02-2020,,synthetic_background
141,37.24636142,2.874362747,0,2,25-02-2020,,synthetic_background
142,36.9497282,1.025866119,0,2,25-02-2020,,synthetic_background
143,38.47202948,1.097595041,0,2,25-02-2020,,synthetic_background
144,38.36293635,3.271235528,0,2,25-02-2020,,synthetic_background
145,37.40286137,0.007562022,0,2,25-02-2020,,synthetic_background
146,38.33624752,1.578755469,0,2,25-02-2020,,synthetic_background
147,37.67552998,2.636758922,0,2,25-02-2020,,synthetic_background
148,36.02981141,2.550070266,0,2,25-02-2020,,synthetic_background
149,38.15579797,1.933794859,0,2,25-02-2020,,synthetic_background
150,36.56643741,1.488521339,0,2,25-02-2020,,synthetic_background
151,37.31774211,2.131809129,0,2,25-02-2020,,synthetic_background
152,36.97567556,2.598653113,0,2,25-02-2020,,synthetic_background
153,37.55898195,3.464519877,0,2,25-02-2020,,synthetic_background
154,37.71790254,0.34278017,0,2,25-02-2020,,synthetic_background
155,37.88492512,4.972759715,0,2,25-02-2020,,synthetic_background
156,38.19967831,0.759368818,0,2,25-02-2020,,synthetic_background
157,38.67417715,0.557962823,0,2,25-02-2020,,synthetic_background
158,38.59826977,3.021291405,0,2,25-02-2020,,synthetic_background
159,37.5634442,4.236819275,0,2,25-02-2020,,synthetic_background
160,37.81757406,1.990681749,0,2,25-02-2020,,synthetic_background
161,37.57765525,2.305277451,0,2,25-02-2020,,synthetic_background
162,36.94837857,4.68990476,0,2,25-02-2020,,synthetic_background
163,37.93891995,3.94156981,0,2,25-02-2020,,synthetic_background
164,36.86444444,5.649722222,1,3,03-03-2020,03-03-2020,fao_hopper
165,36.84111111,5.471111111,1,3,03-03-2020,03-03-2020,fao_hopper
166,37.04277778,5.165,1,3,03-03-2020,04-03-2020,fao_hopper
167,38.13972222,4.73,1,3,03-03-2020,06-03-2020,fao_hopper
168,36.81111111,5.469444444,1,3,03-03-2020,09-03-2020,fao_hopper
169,36.83166667,5.476111111,1,3,03-03-2020,09-03-2020,fao_hopper
170,37.95361111,5.068888889,1,3,03-03-2020,05-03-2020,fao_band
171,36.75,2.4,1,3,03-03-2020,03-03-2020,fao_band
172,37.3,0.683333333,1,3,03-03-2020,06-03-2020,fao_band
173,37.06666667,3.316666667,1,3,03-03-2020,07-03-2020,fao_band
174,37.13333333,0.583333333,1,3,03-03-2020,09-03-2020,fao_band
175,37.11666667,0.7,1,3,03-03-2020,09-03-2020,fao_band
176,38.18333333,4.977777778,1,3,03-03-2020,04-03-2020,fao_adult
177,38.17027778,5.019444444,1,3,03-03-2020,04-03-2020,fao_adult
178,38.19361111,4.7475,1,3,03-03-2020,05-03-2020,fao_adult
179,38.19055556,4.435,1,3,03-03-2020,05-03-2020,fao_adult
180,38.16444444,4.675833333,1,3,03-03-2020,06-03-2020,fao_adult
181,38.13583333,4.667777778,1,3,03-03-2020,07-03-2020,fao_adult
182,38.13027778,4.701666667,1,3,03-03-2020,06-03-2020,fao_adult
183,38.1375,4.6925,1,3,03-03-2020,07-03-2020,fao_adult
184,38.10222222,4.649722222,1,3,03-03-2020,07-03-2020,fao_adult
185,38.13027778,4.659166667,1,3,03-03-2020,07-03-2020,fao_adult
186,37.86694444,5.016944444,1,3,03-03-2020,09-03-2020,fao_adult
187,38.10138889,4.684444444,1,3,03-03-2020,09-03-2020,fao_adult
188,38.08472222,4.673888889,1,3,03-03-2020,09-03-2020,fao_adult
189,38.19,5.086111111,1,3,03-03-2020,03-03-2020,fao_swarm
190,38.22638889,4.333888889,1,3,03-03-2020,03-03-2020,fao_swarm
191,38.21222222,4.883611111,1,3,03-03-2020,03-03-2020,fao_swarm
192,37.985,5.1225,1,3,03-03-2020,05-03-2020,fao_swarm
193,38.37,4.856388889,1,3,03-03-2020,05-03-2020,fao_swarm
194,37.41666667,0.583333333,1,3,03-03-2020,04-03-2020,fao_swarm
195,36.26666667,0,1,3,03-03-2020,04-03-2020,fao_swarm
196,37.31666667,0.966666667,1,3,03-03-2020,04-03-2020,fao_swarm
197,36.75,2.4,1,3,03-03-2020,05-03-2020,fao_swarm
198,38.22638889,4.333888889,1,3,03-03-2020,04-03-2020,fao_swarm
199,37.90333333,5.078611111,1,3,03-03-2020,09-03-2020,fao_swarm
200,37.98611111,4.657777778,1,3,03-03-2020,09-03-2020,fao_swarm
201,36.81666667,2.283333333,1,3,03-03-2020,06-03-2020,fao_swarm
202,37.54416667,0.507222222,1,3,03-03-2020,07-03-2020,fao_swarm
203,36.66666667,0.266666667,1,3,03-03-2020,08-03-2020,fao_swarm
204,36.83333333,2.25,1,3,03-03-2020,06-03-2020,fao_swarm
