row_id,X,Y,ObsDate,Week,Presence,Source
95,37.02485,2.81843,2021-02-21,8,0,tgb_no_locust
96,37.93,4.99388888900006,2020-01-23,8,0,tgb_swarm
97,37.9963888890001,4.39111111100004,2020-03-19,8,0,tgb_swarm
98,36.17684,2.10605,2020-06-04,8,0,tgb_no_locust
99,37.40175,5.28586,2021-05-12,8,0,tgb_no_locust
100,37.0,5.46666666700003,2020-04-06,8,0,tgb_band
101,37.2738,3.70346,2020-06-04,8,0,tgb_no_locust
102,37.283333333,0.466666667000027,2020-01-22,8,0,tgb_swarm
103,37.0,2.46666666700003,2020-04-24,8,0,tgb_swarm
104,37.1666666670001,0.633333333000053,2020-03-18,8,0,tgb_band
105,38.7891666670001,5.47416666700002,2020-03-01,8,0,tgb_swarm
106,38.33082,5.303367,2020-03-21,8,0,tgb_no_locust
107,38.695,3.77055555600003,2020-02-06,8,0,tgb_swarm
108,38.190555556,4.435,2020-03-05,8,0,tgb_adult
109,37.34016,2.58913,2020-06-03,8,0,tgb_no_locust
110,38.74985,3.50625,2020-06-03,8,0,tgb_no_locust
111,36.718611111,0.837222222000037,2020-04-16,8,0,tgb_swarm
112,38.2175,4.69611111100005,2020-03-14,8,0,tgb_adult
113,38.3544444440001,5.07194444400005,2020-03-12,8,0,tgb_adult
114,37.02614,4.28131,2021-11-27,8,0,tgb_no_locust
115,36.8061111110001,5.39916666700003,2020-03-18,8,0,tgb_hopper
116,36.61878,2.89574,2020-06-04,8,0,tgb_no_locust
117,36.0072222220001,3.05,2020-03-19,8,0,tgb_band
118,38.87755,5.99945,2021-11-29,8,0,tgb_no_locust
119,37.10437,0.07136,2021-02-23,8,0,tgb_no_locust
120,37.075,2.62944444400006,2020-04-26,8,0,tgb_swarm
121,37.25,0.633333333000053,2020-02-15,8,0,tgb_band
122,38.76376,1.2005,2021-02-27,8,0,tgb_no_locust
123,37.8833333330001,2.1,2020-01-26,8,0,tgb_swarm
124,37.6636111110001,5.11472222200007,2020-02-21,8,0,tgb_hopper
125,38.7469444440001,3.81416666700005,2020-01-22,8,0,tgb_swarm
126,37.583611111,0.357222222000075,2020-04-01,8,0,tgb_hopper
127,36.716666667,0.683333333000064,2020-04-23,8,0,tgb_swarm
128,37.033333333,0.6,2020-02-12,8,0,tgb_swarm
129,36.05447,0.3551,2021-02-23,8,0,tgb_no_locust
130,37.3105555560001,1.74083333300007,2020-01-15,8,0,tgb_swarm
131,37.79246,5.51716,2021-11-22,8,0,tgb_no_locust
132,37.9166666670001,5.25,2020-04-03,8,0,tgb_band
133,36.5583333330001,0.712777778000032,2020-04-18,8,0,tgb_swarm
134,37.0330555560001,0.91277777800002,2020-04-27,8,0,tgb_adult
135,37.79024,1.6117,2020-06-02,8,0,tgb_no_locust
136,37.8,1.58333333300004,2020-02-21,8,0,tgb_band
137,37.6613888890001,0.755555556000047,2020-02-28,8,0,tgb_swarm
138,38.51106,0.86152,2021-02-27,8,0,tgb_no_locust
139,38.4897222220001,4.41555555600007,2020-05-06,8,0,tgb_hopper
140,37.4105555560001,3.08666666700003,2020-05-09,8,0,tgb_swarm
141,38.1702777780001,5.01944444400004,2020-03-04,8,0,tgb_adult
142,38.69075,3.57539,2020-12-18,8,0,tgb_no_locust
143,37.085277778,1.4925,2020-04-27,8,0,tgb_adult
144,36.8833333330001,5.1,2020-03-27,8,0,tgb_band
145,37.016666667,0.683333333000064,2020-01-17,8,0,tgb_swarm
146,36.266666667,0.31666666700005,2020-02-21,8,0,tgb_swarm
147,36.566666667,0.883333333000053,2020-04-17,8,0,tgb_swarm
148,38.9,1.13333333300005,2020-04-06,8,0,tgb_swarm
149,36.26088,4.28836,2021-02-23,8,0,tgb_no_locust
150,37.74136,5.66931,2021-11-22,8,0,tgb_no_locust
151,36.7333333330001,0.28333333300003,2020-03-26,8,0,tgb_swarm
152,37.516666667,0.833333333000041,2020-04-24,8,0,tgb_swarm
153,37.966666667,0.583333333000041,2020-01-31,8,0,tgb_swarm
154,36.9166666670001,0.333333333000041,2020-02-11,8,0,tgb_band
155,36.64065,5.13515,2021-11-29,8,0,tgb_no_locust
156,38.281666667,4.22944444400002,2020-01-20,8,0,tgb_swarm
157,36.04696,0.02431,2021-02-21,8,0,tgb_no_locust
158,37.339722222,3.0475,2020-02-28,8,0,tgb_band
159,38.70891,3.49658,2020-06-03,8,0,tgb_no_locust
160,37.566666667,5.26666666700004,2020-04-04,8,0,tgb_band
161,36.966666667,0.8,2020-02-12,8,0,tgb_swarm
162,36.9833333330001,0.216666667000027,2020-02-02,8,0,tgb_swarm
163,36.51889,5.15405,2021-05-14,8,0,tgb_no_locust
164,37.84919,5.36324,2021-11-22,8,0,tgb_no_locust
165,37.25996,4.00068,2020-06-02,8,0,tgb_no_locust
166,37.4333333330001,0.933333333000064,2020-02-06,8,0,tgb_swarm
167,36.20875,1.83032,2020-06-05,8,0,tgb_no_locust
168,37.55,0.4,2020-02-21,8,0,tgb_band
169,37.4,0.216666667000027,2020-01-27,8,0,tgb_swarm
170,36.9291666670001,1.44666666700004,2020-05-04,8,0,tgb_swarm
171,37.3522222220001,1.31583333300006,2020-05-01,8,0,tgb_adult
172,36.5558,2.89723,2021-05-13,8,0,tgb_no_locust
173,36.82133,4.84053,2021-05-10,8,0,tgb_no_locust
174,36.63429,5.47283,2021-05-14,8,0,tgb_no_locust
175,37.45531,5.7254,2021-05-10,8,0,tgb_no_locust
176,38.0072222220001,4.44805555600004,2020-01-28,8,0,tgb_swarm
177,37.25957,3.99214,2020-06-02,8,0,tgb_no_locust
